product,service_type,service_category,cloud_provider
Virtual Machines LSv2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dadsv5 Series Windows,Virtual Machines,Compute,Azure
Ddsv4 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines Dplsv5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dv5 Series,Virtual Machines,Compute,Azure
Virtual Machines Dpldsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines NDrSv2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NP Series Windows,Virtual Machines,Compute,Azure
Virtual Machines NDamsr A100 v4 Series Linux,Virtual Machines,Compute,Azure
Virtual Machines NCSv2 Series Windows,Virtual Machines,Compute,Azure
ESv3 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines Epdsv5 Series,Virtual Machines,Compute,Azure
MdSv2 Series Dedicated Host,Virtual Machines,Compute,Azure
DCsv2 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines FX Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dav4 Series,Virtual Machines,Compute,Azure
Virtual Machines Ev5 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines FS Series Windows,Virtual Machines,Compute,Azure
Virtual Machines DS Series,Virtual Machines,Compute,Azure
Virtual Machines DCSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines G Series Windows,Virtual Machines,Compute,Azure
DCasv5-series Windows,Virtual Machines,Compute,Azure
Virtual Machines NCSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines NVasv4 VDI Series,Virtual Machines,Compute,Azure
Virtual Machines DSv2 promo Series Windows,Virtual Machines,Compute,Azure
Dasv4 Series Dedicated Host,Virtual Machines,Compute,Azure
FX Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines Ddsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines MdSv2 Series,Virtual Machines,Compute,Azure
Virtual Machines Lsv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dav4 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines A Series Windows,Virtual Machines,Compute,Azure
Virtual Machines HCS Series,Virtual Machines,Compute,Azure
Virtual Machines HBrsv3 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dv3 Series,Virtual Machines,Compute,Azure
Virtual Machines NVSv3 Series,Virtual Machines,Compute,Azure
Virtual Machines H Series,Virtual Machines,Compute,Azure
Dadsv5 Series Dedicated Host,Virtual Machines,Compute,Azure
Virtual Machines Dplsv5 Series,Virtual Machines,Compute,Azure
Virtual Machines Dv2 Series,Virtual Machines,Compute,Azure
Virtual Machines MSv2 Series Windows,Virtual Machines,Compute,Azure
Virtual Machines Dv4 Series,Virtual Machines,Compute,Azure
DCdsv3 Series DedicatedHost,Virtual Machines,Compute,Azure
Virtual Machines Dv3 VDI Series Windows,Virtual Machines,Compute,Azure
Virtual Machines RI,Virtual Machines,Compute,Azure
Virtual Machines NDamsr A100 v4 Series Windows,Virtual Machines,Compute,Azure
Azure App Service Domain,Azure App Service,Compute,Azure
Azure App Service Premium Plan,Azure App Service,Compute,Azure
Azure App Service Premium Windows Container Plan,Azure App Service,Compute,Azure
Azure App Service Premium v2 Plan,Azure App Service,Compute,Azure
Azure App Service Isolated v2 Plan,Azure App Service,Compute,Azure
Azure App Service Standard Plan - Linux,Azure App Service,Compute,Azure
Azure App Service Basic Plan,Azure App Service,Compute,Azure
Azure App Service Standard Plan,Azure App Service,Compute,Azure
Azure App Service Shared Plan,Azure App Service,Compute,Azure
Azure App Service Isolated v2 Plan - Linux,Azure App Service,Compute,Azure
Static Web Apps,Azure App Service,Compute,Azure
JBoss EAP Integrated Support,Azure App Service,Compute,Azure
Azure App Service Isolated Plan - Linux,Azure App Service,Compute,Azure
Azure App Service Isolated Plan,Azure App Service,Compute,Azure
Azure App Service Premium v3 Plan,Azure App Service,Compute,Azure
Azure App Service Premium v3 Plan - Linux,Azure App Service,Compute,Azure
Azure App Service Free Plan - Linux,Azure App Service,Compute,Azure
Azure App Service Reservation,Azure App Service,Compute,Azure
Azure App Service Basic Plan - Linux,Azure App Service,Compute,Azure
Azure App Service Free Plan,Azure App Service,Compute,Azure
JBoss EAP Integrated Support Reservation for App Service,Azure App Service,Compute,Azure
Azure App Service SSL Connections,Azure App Service,Compute,Azure
Azure App Service Premium v2 Plan - Linux,Azure App Service,Compute,Azure
Azure App Service SSL Certificates,Azure App Service,Compute,Azure
Azure HPC Workbench,Azure HPC Workbench,Compute,Azure
Service Fabric Mesh - Windows,Service Fabric Mesh,Compute,Azure
Container Compute,Service Fabric Mesh,Compute,Azure
Reliable Collections,Service Fabric Mesh,Compute,Azure
